iter	Passed	Remaining
0	163	163756
1	165	82801
2	167	55712
3	169	42139
4	170	34004
5	172	28579
6	174	24754
7	176	21841
8	177	19597
9	179	17747
10	180	16223
11	181	14942
12	182	13855
13	183	12925
14	184	12109
15	185	11391
16	186	10757
17	186	10198
18	187	9693
19	188	9233
20	189	8813
21	189	8429
22	190	8077
23	190	7754
24	191	7458
25	191	7183
26	192	6929
27	192	6693
28	193	6473
29	193	6268
30	194	6076
31	194	5896
32	195	5728
33	196	5569
34	196	5419
35	197	5278
36	197	5145
37	198	5018
38	198	4897
39	199	4783
40	199	4674
41	200	4570
42	200	4472
43	201	4385
44	202	4295
45	202	4208
46	203	4125
47	203	4045
48	204	3969
49	205	3896
50	205	3825
51	206	3757
52	206	3692
53	207	3629
54	207	3569
55	208	3510
56	208	3454
57	209	3399
58	209	3347
59	210	3296
60	210	3247
61	211	3199
62	212	3153
63	212	3108
64	213	3067
65	213	3025
66	214	2984
67	214	2945
68	215	2906
69	216	2870
70	216	2835
71	217	2799
72	217	2764
73	218	2730
74	218	2697
75	219	2665
76	219	2634
77	220	2603
78	220	2573
79	221	2544
80	221	2516
81	222	2489
82	222	2459
83	223	2433
84	223	2407
85	224	2382
86	224	2358
87	225	2334
88	225	2311
89	226	2288
90	226	2265
91	227	2243
92	227	2222
93	228	2201
94	228	2180
95	229	2160
96	229	2140
97	230	2121
98	231	2104
99	231	2085
100	232	2067
101	232	2049
102	233	2032
103	233	2014
104	234	1997
105	234	1981
106	235	1964
107	235	1948
108	236	1932
109	236	1917
110	237	1902
111	238	1887
112	238	1872
113	239	1857
114	239	1843
115	240	1829
116	240	1815
117	241	1802
118	241	1789
119	242	1776
120	242	1763
121	243	1750
122	243	1738
123	244	1726
124	244	1714
125	245	1702
126	245	1690
127	246	1679
128	246	1667
129	247	1656
130	248	1645
131	248	1634
132	249	1623
133	249	1612
134	250	1602
135	250	1592
136	251	1581
137	251	1571
138	252	1561
139	252	1552
140	253	1542
141	253	1532
142	254	1522
143	254	1513
144	255	1504
145	255	1495
146	256	1486
147	256	1478
148	257	1469
149	257	1461
150	258	1452
151	258	1444
152	259	1436
153	259	1428
154	260	1420
155	261	1413
156	261	1405
157	262	1397
158	262	1389
159	263	1382
160	263	1374
161	264	1366
162	264	1359
163	265	1351
164	265	1344
165	266	1337
166	266	1330
167	267	1323
168	267	1316
169	268	1309
170	268	1303
171	269	1296
172	269	1290
173	270	1283
174	271	1277
175	271	1271
176	272	1265
177	272	1259
178	273	1253
179	273	1247
180	274	1241
181	274	1235
182	275	1229
183	276	1224
184	276	1218
185	277	1212
186	277	1206
187	278	1200
188	278	1195
189	279	1189
190	279	1184
191	280	1178
192	280	1173
193	281	1168
194	281	1162
195	282	1157
196	282	1152
197	283	1147
198	283	1142
199	284	1137
200	285	1132
201	285	1128
202	286	1123
203	286	1118
204	287	1113
205	287	1108
206	288	1103
207	288	1099
208	289	1094
209	289	1089
210	290	1086
211	290	1081
212	291	1077
213	292	1072
214	292	1068
215	293	1063
216	293	1059
217	294	1054
218	294	1050
219	295	1046
220	295	1041
221	296	1037
222	296	1033
223	297	1029
224	297	1025
225	298	1021
226	298	1017
227	299	1013
228	299	1009
229	300	1005
230	300	1001
231	301	997
232	301	993
233	302	989
234	302	986
235	303	982
236	303	978
237	304	974
238	304	970
239	305	967
240	306	963
241	306	960
242	307	956
243	307	953
244	308	949
245	308	946
246	309	942
247	309	938
248	310	935
249	310	932
250	311	928
251	311	925
252	312	921
253	312	918
254	313	915
255	313	912
256	314	908
257	314	905
258	315	902
259	316	899
260	316	896
261	317	893
262	317	889
263	318	886
264	318	883
265	319	880
266	319	877
267	320	875
268	320	872
269	321	869
