iter	Passed	Remaining
0	172	172287
1	174	87301
2	176	58541
3	177	44128
4	178	35474
5	179	29704
6	180	25579
7	181	22488
8	182	20087
9	183	18159
10	184	16577
11	185	15264
12	186	14159
13	188	13247
14	189	12449
15	190	11720
16	191	11072
17	192	10494
18	193	9977
19	194	9532
20	195	9128
21	196	8744
22	197	8396
23	198	8067
24	199	7763
25	199	7483
26	200	7227
27	201	6987
28	202	6779
29	203	6578
30	204	6386
31	205	6202
32	205	6026
33	206	5862
34	207	5708
35	207	5567
36	208	5427
37	209	5294
38	209	5165
39	210	5043
40	210	4926
41	211	4815
42	211	4709
43	212	4608
44	212	4514
45	213	4421
46	213	4332
47	214	4247
48	214	4165
49	215	4087
50	215	4017
51	216	3951
52	217	3891
53	218	3827
54	219	3765
55	219	3703
56	220	3642
57	220	3583
58	221	3526
59	221	3471
60	222	3418
61	222	3366
62	223	3316
63	223	3268
64	224	3222
65	224	3177
66	224	3133
67	225	3090
68	225	3049
69	226	3008
70	226	2969
71	227	2931
72	227	2894
73	228	2858
74	228	2823
75	229	2792
76	230	2761
77	231	2732
78	231	2703
79	232	2673
80	233	2644
81	233	2615
82	233	2583
83	234	2555
84	234	2528
85	235	2500
86	235	2474
87	236	2449
88	236	2425
89	237	2400
90	237	2376
91	238	2352
92	238	2329
93	239	2306
94	239	2284
95	240	2263
96	240	2241
97	241	2220
98	241	2200
99	242	2180
100	242	2161
101	243	2141
102	243	2123
103	244	2104
104	244	2086
105	245	2068
106	247	2064
107	247	2047
108	248	2030
109	248	2013
110	249	1997
111	249	1981
112	250	1965
113	251	1951
114	251	1937
115	252	1922
116	252	1906
117	253	1891
118	253	1877
119	254	1863
120	254	1849
121	254	1834
122	255	1820
123	255	1807
124	256	1794
125	256	1781
126	257	1768
127	257	1755
128	258	1744
129	258	1732
130	259	1720
131	259	1709
132	260	1698
133	261	1688
134	261	1677
135	262	1666
136	262	1655
137	263	1644
138	263	1634
139	264	1623
140	264	1613
141	265	1601
142	265	1591
143	266	1581
144	266	1571
145	267	1561
146	267	1552
147	268	1542
148	268	1533
149	268	1524
150	269	1515
151	269	1506
152	270	1497
153	270	1488
154	271	1479
155	271	1471
156	272	1462
157	272	1454
158	273	1446
159	273	1438
160	274	1429
161	274	1421
162	275	1414
163	276	1408
164	276	1400
165	277	1393
166	277	1385
167	278	1378
168	278	1370
169	279	1363
170	279	1356
171	280	1349
172	280	1342
173	281	1335
174	281	1328
175	282	1321
176	282	1314
177	283	1307
178	283	1301
179	284	1294
180	284	1288
181	285	1281
182	285	1275
183	286	1268
184	286	1262
185	287	1257
186	287	1251
187	288	1246
188	289	1240
189	289	1234
190	290	1229
191	291	1225
192	291	1219
193	292	1213
194	292	1207
195	293	1202
196	293	1196
197	294	1191
198	294	1185
199	295	1180
200	295	1174
201	295	1169
202	296	1163
203	296	1158
204	297	1153
205	297	1148
206	298	1143
207	298	1138
208	299	1132
209	299	1128
210	300	1123
211	300	1118
212	301	1113
213	301	1108
214	302	1103
215	302	1099
216	303	1094
217	303	1089
218	304	1085
219	305	1081
220	305	1078
221	306	1074
222	307	1070
223	307	1066
224	308	1062
225	308	1058
226	309	1053
227	309	1049
228	310	1044
229	310	1040
230	311	1036
231	311	1032
232	312	1027
233	312	1023
234	313	1019
235	313	1015
236	314	1011
237	314	1007
238	315	1003
239	315	999
240	316	995
241	316	991
242	317	987
243	317	983
244	318	980
245	318	976
246	319	972
247	319	970
248	320	967
249	321	963
250	321	960
251	322	956
252	322	952
253	323	949
254	323	945
255	324	942
256	324	938
257	325	935
258	325	931
259	326	928
260	326	924
261	327	921
262	327	917
263	328	914
264	328	911
265	328	907
266	329	904
267	329	901
268	330	897
269	330	894
270	331	891
271	331	888
272	332	886
273	334	885
274	334	882
275	336	882
276	337	880
277	337	877
278	338	874
279	339	872
280	340	870
281	340	867
282	341	864
283	341	861
284	342	858
285	342	855
286	343	852
287	343	849
288	344	846
289	344	843
290	345	841
291	345	838
292	346	835
293	346	832
294	347	829
295	347	826
296	348	823
297	349	824
298	350	822
299	351	819
300	352	817
301	352	814
302	353	812
303	353	810
304	354	808
305	355	805
306	355	803
307	356	800
308	356	797
309	357	795
310	357	792
311	358	789
312	358	787
